"","model",".id","X.Intercept.","TVLag0Alpha0.6Decay0.9","radioLag0Alpha0.8Decay1.0","NS_Lag0Alpha0.8Decay1.0","TVLag0Alpha0.7Decay1.0","TVLag0Alpha0.6Decay1.0","radioLag0Alpha0.9Decay1.0","radioLag0Alpha1.0Decay1.0","NS_Lag0Alpha0.9Decay1.0","NS_Lag0Alpha1.0Decay1.0",".id.1","X.Intercept..1","TVLag0Alpha0.6Decay0.9.1","radioLag0Alpha0.8Decay1.0.1","NS_Lag0Alpha0.8Decay1.0.1","TVLag0Alpha0.7Decay1.0.1","TVLag0Alpha0.6Decay1.0.1","radioLag0Alpha0.9Decay1.0.1","radioLag0Alpha1.0Decay1.0.1","NS_Lag0Alpha0.9Decay1.0.1","NS_Lag0Alpha1.0Decay1.0.1","unlist.adjR2."
"5","sales ~ 1 + TVLag0Alpha0.7Decay1.0 + radioLag0Alpha0.9Decay1.0 + NS_Lag0Alpha0.8Decay1.0","5",0.59120921475523,NA,NA,0.000960811057311372,0.276149428667017,NA,0.285962082596389,NA,NA,NA,"5",1.79623318642733,NA,NA,0.0736973728824449,37.3287176503415,NA,24.9039235701076,NA,NA,NA,0.916396096994755
"14","sales ~ 1 + TVLag0Alpha0.7Decay1.0 + radioLag0Alpha0.9Decay1.0 + NS_Lag0Alpha0.9Decay1.0","14",0.596456218381792,NA,NA,NA,0.276159116093367,NA,0.28610619331938,NA,0.000294742178070204,NA,"14",1.84896379493676,NA,NA,NA,37.3285843095032,NA,24.8517928453635,NA,0.0357331490537467,NA,0.916394324925674
